P_5                   	10	0.0000
P_5                   	100	0.4000
P_5                   	100263	0.2000
P_5                   	10044	0.0000
P_5                   	100606	0.0000
P_5                   	1011	0.0000
P_5                   	101191	0.0000
P_5                   	1014	0.0000
P_5                   	101459	0.0000
P_5                   	101872	0.2000
P_5                   	102017	0.2000
P_5                   	10206	0.0000
P_5                   	102169	0.0000
P_5                   	102236	0.0000
P_5                   	102402	0.0000
P_5                   	102518	0.0000
P_5                   	102586	0.0000
P_5                   	102632	0.2000
P_5                   	102720	0.2000
P_5                   	103533	0.2000
P_5                   	103662	0.2000
P_5                   	10371	0.0000
P_5                   	103807	0.0000
P_5                   	103901	0.0000
P_5                   	103982	0.2000
P_5                   	10399	0.0000
P_5                   	104017	0.0000
P_5                   	10417	0.2000
P_5                   	104305	0.0000
P_5                   	104314	0.0000
P_5                   	10436	0.0000
P_5                   	104698	0.0000
P_5                   	104716	0.2000
P_5                   	104769	0.2000
P_5                   	105	0.0000
P_5                   	105264	0.0000
P_5                   	105415	0.2000
P_5                   	105799	0.2000
P_5                   	105954	0.4000
P_5                   	106384	0.0000
P_5                   	10668	0.2000
P_5                   	106688	0.0000
P_5                   	106812	0.4000
P_5                   	106856	0.0000
P_5                   	106918	0.4000
P_5                   	107221	0.0000
P_5                   	107373	0.0000
P_5                   	107407	0.0000
P_5                   	107420	0.0000
P_5                   	107661	0.0000
P_5                   	107729	0.0000
P_5                   	108010	0.0000
P_5                   	108398	0.2000
P_5                   	10884	0.2000
P_5                   	10898	0.0000
P_5                   	109071	0.0000
P_5                   	10947	0.4000
P_5                   	109476	0.2000
P_5                   	10957	0.0000
P_5                   	109647	0.0000
P_5                   	109715	0.0000
P_5                   	109739	0.2000
P_5                   	110	0.0000
P_5                   	110154	0.0000
P_5                   	110172	0.0000
P_5                   	110341	0.4000
P_5                   	110416	0.0000
P_5                   	110502	0.2000
P_5                   	11066	0.4000
P_5                   	110852	0.2000
P_5                   	111312	0.0000
P_5                   	111522	0.2000
P_5                   	111569	0.0000
P_5                   	111726	0.0000
P_5                   	11234	0.2000
